chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/AxisLocationTest.java,AxisLocationTest,79.0,47.0,0.5949367088607594,15.0,0.039662447257383965
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/AxisSpaceTest.java,AxisSpaceTest,96.0,52.0,0.5416666666666666,16.0,0.033854166666666664
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/CategoryLabelPositionsTest.java,CategoryLabelPositionsTest,161.0,47.0,0.2919254658385093,14.0,0.02085181898846495
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/ValueAxisTest.java,ValueAxisTest,213.0,74.0,0.3474178403755869,16.0,0.02171361502347418
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/DateAxisTest.java,DateAxisTest,1045.0,207.0,0.19808612440191387,104.0,0.0019046742730953257
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/CategoryLabelPositionTest.java,CategoryLabelPositionTest,132.0,47.0,0.3560606060606061,14.0,0.025432900432900436
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/SubCategoryAxisTest.java,SubCategoryAxisTest,136.0,58.0,0.4264705882352941,22.0,0.019385026737967912
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/ExtendedCategoryAxisTest.java,ExtendedCategoryAxisTest,137.0,58.0,0.4233576642335766,18.0,0.023519870235198703
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/StandardTickUnitSourceTest.java,StandardTickUnitSourceTest,63.0,44.0,0.6984126984126984,13.0,0.05372405372405372
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/axis/CategoryLabelWidthTypeTest.java,CategoryLabelWidthTypeTest,76.0,47.0,0.618421052631579,14.0,0.04417293233082707
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/BarChartTest.java,BarChartTest,165.0,72.0,0.43636363636363634,27.0,0.01616161616161616
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/api/RectangleAlignmentTest.java,RectangleAlignmentTest,87.0,41.0,0.47126436781609193,11.0,0.042842215256008356
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/MeterChartTest.java,MeterChartTest,69.0,47.0,0.6811594202898551,13.0,0.05239687848383501
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/text/format/LogFormatTest.java,LogFormatTest,103.0,50.0,0.4854368932038835,17.0,0.028555111364934323
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/text/format/HMSNumberFormatTest.java,HMSNumberFormatTest,53.0,38.0,0.7169811320754716,19.0,0.03773584905660377
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/text/format/RelativeDateFormatTest.java,RelativeDateFormatTest,191.0,64.0,0.33507853403141363,31.0,0.010808984968755278
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/TimeSeriesChartTest.java,TimeSeriesChartTest,153.0,69.0,0.45098039215686275,23.0,0.0196078431372549
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/JFreeChartTest.java,JFreeChartTest,409.0,115.0,0.28117359413202936,49.0,0.0057382366149393745
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/LineChartTest.java,LineChartTest,162.0,73.0,0.4506172839506173,26.0,0.017331433998100665
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/XYStepAreaChartTest.java,XYStepAreaChartTest,152.0,69.0,0.45394736842105265,22.0,0.02063397129186603
/Users/catherineengert/Desktop/jfreechart-master/src/test/java/org/jfree/chart/block/GridArrangementTest.java,GridArrangementTest,268.0,92.0,0.34328358208955223,34.0,0.01009657594381036
