chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/legend,jfreechart-mas.src.test.java.org.jfree.chart.legend,485.0,180.0,0.3711340206185567,59.0,0.00629040712912808
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/imagemap,jfreechart-mas.src.test.java.org.jfree.chart.imagemap,348.0,229.0,0.6580459770114943,71.0,0.00926825319734499
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/category,jfreechart-mas.src.test.java.org.jfree.chart.renderer.category,3770.0,1431.0,0.3795755968169761,543.0,6.990342482817239E-4
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy,jfreechart-mas.src.test.java.org.jfree.chart.renderer.xy,4844.0,1836.0,0.3790255986787779,699.0,5.422397692114133E-4
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/renderer,jfreechart-mas.src.test.java.org.jfree.chart.renderer,10270.0,3840.0,0.373904576436222,1481.0,2.5246764107780015E-4
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/dial,jfreechart-mas.src.test.java.org.jfree.chart.plot.dial,1739.0,733.0,0.4215066129959747,242.0,0.0017417628636197302
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/pie,jfreechart-mas.src.test.java.org.jfree.chart.plot.pie,875.0,240.0,0.2742857142857143,95.0,0.002887218045112782
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/compass,jfreechart-mas.src.test.java.org.jfree.chart.plot.compass,885.0,518.0,0.5853107344632769,163.0,0.0035908634016151957
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot/flow,jfreechart-mas.src.test.java.org.jfree.chart.plot.flow,242.0,62.0,0.256198347107438,30.0,0.008539944903581266
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/plot,jfreechart-mas.src.test.java.org.jfree.chart.plot,10117.0,3421.0,0.33814371849362457,1205.0,2.806171937706428E-4
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/title,jfreechart-mas.src.test.java.org.jfree.chart.title,675.0,371.0,0.5496296296296296,103.0,0.005336209996404171
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/entity,jfreechart-mas.src.test.java.org.jfree.chart.entity,809.0,379.0,0.4684796044499382,122.0,0.003839996757786379
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/swing,jfreechart-mas.src.test.java.org.jfree.chart.swing,417.0,161.0,0.38609112709832133,61.0,0.006329362739316743
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/labels,jfreechart-mas.src.test.java.org.jfree.chart.labels,2503.0,1133.0,0.452656811825809,383.0,0.0011818715713467598
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/internal,jfreechart-mas.src.test.java.org.jfree.chart.internal,539.0,264.0,0.4897959183673469,113.0,0.004334477153693336
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/annotations,jfreechart-mas.src.test.java.org.jfree.chart.annotations,2037.0,833.0,0.40893470790378006,250.0,0.0016357388316151202
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/urls,jfreechart-mas.src.test.java.org.jfree.chart.urls,785.0,368.0,0.46878980891719746,127.0,0.003691258337930689
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/axis,jfreechart-mas.src.test.java.org.jfree.chart.axis,5087.0,1886.0,0.3707489679575388,637.0,5.820234975785539E-4
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/api,jfreechart-mas.src.test.java.org.jfree.chart.api,87.0,41.0,0.47126436781609193,11.0,0.042842215256008356
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/text/format,jfreechart-mas.src.test.java.org.jfree.chart.text.format,347.0,152.0,0.43804034582132567,67.0,0.006537915609273517
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart/block,jfreechart-mas.src.test.java.org.jfree.chart.block,2012.0,757.0,0.37624254473161034,198.0,0.0019002148723818704
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/chart,jfreechart-mas.src.test.java.org.jfree.chart,40340.0,15551.0,0.38549826474962817,5427.0,7.10334005435099E-5
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/data/statistics,jfreechart-mas.src.test.java.org.jfree.data.statistics,2310.0,834.0,0.36103896103896105,321.0,0.0011247319658534611
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/data/category,jfreechart-mas.src.test.java.org.jfree.data.category,1189.0,349.0,0.29352396972245587,182.0,0.001612769064409098
/Users/blanchemongeon/Documents/Universite/H22/IFT3913/jfreechart-master/src/test/java/org/jfree/data/general,jfreechart-mas.src.test.java.org.jfree.data.general,2535.0,887.0,0.34990138067061144,358.0,9.773781582977973E-4
