chemin,paquet,classe_LOC,classe_CLOC,classe_DC,WCP,paquet_BC
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/test,test,254.0,34.0,0.13385826771653545,57.0,0.002348390661693604
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src,src,3404.0,855.0,0.2511750881316099,1141.0,2.2013592299001742E-4
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application,application,3658.0,889.0,0.2430289775833789,1198.0,2.028622517390475E-4
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re/,/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re/,3658.0,889.0,0.2430289775833789,1198.0,2.028622517390475E-4
