chemin,paquet,classe_LOC,classe_CLOC,classe_DC,WCP,paquet_BC
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/test,test,254.0,109.0,0.42913385826771655,57.0,0.007528664180135378
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application/src,src,3404.0,1696.0,0.4982373678025852,1141.0,4.366672811591457E-4
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re//application,application,3658.0,1805.0,0.4934390377255331,1198.0,4.118856742283248E-4
/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re/,/Users/catherineengert/session_automne_2021/GitHub/VaxTodo-Re/,3658.0,1805.0,0.4934390377255331,1198.0,4.118856742283248E-4
